                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95583,                 1.1162,                 1.3362,                0.85961,                0.66984,                0.84575,                0.44098,                 1.6025,                 1.0816,                 2.0699,             0.00061203,             0.00061203,             0.00061203
                     35,                0.93704,                 1.0878,                 1.3464,                0.61614,                0.80954,                0.88496,                0.48689,                 1.4445,                 1.0002,                 1.8969,             0.00060303,             0.00060303,             0.00060303
                     36,                0.94528,                 1.1155,                  1.334,                 0.8646,                0.55586,                0.67999,                0.36949,                 1.5482,                 1.0413,                 2.0948,             0.00059403,             0.00059403,             0.00059403
                     37,                0.93781,                 1.1227,                 1.3537,                0.92503,                0.62611,                0.79102,                 0.4548,                 1.5131,                0.97682,                 2.1112,             0.00058503,             0.00058503,             0.00058503
                     38,                 0.9295,                 1.0865,                 1.3248,                0.64751,                0.90003,                0.81125,                0.43837,                 1.5451,                 1.0422,                 2.1344,             0.00057603,             0.00057603,             0.00057603
                     39,                0.92035,                 1.0363,                 1.3244,                 0.6456,                0.63916,                0.76274,                0.42763,                 1.6615,                 1.1978,                 2.2847,             0.00056703,             0.00056703,             0.00056703
                     40,                0.89242,                0.98545,                 1.3042,                0.60706,                0.67209,                0.61458,                0.36086,                  1.461,                 1.1946,                  1.964,             0.00055804,             0.00055804,             0.00055804
                     41,                0.89424,                  1.034,                 1.2994,                0.63009,                0.69498,                0.79327,                0.47309,                 1.5389,                 1.0601,                 2.0953,             0.00054904,             0.00054904,             0.00054904
                     42,                0.86266,                0.99434,                 1.3062,                0.66296,                0.63455,                0.61142,                0.29265,                 1.8177,                 1.3601,                 2.3796,             0.00054004,             0.00054004,             0.00054004
                     43,                 0.8872,                   1.02,                 1.3117,                0.74429,                0.57867,                 0.7699,                0.41055,                 1.6017,                 1.3269,                 2.1492,             0.00053104,             0.00053104,             0.00053104
                     44,                0.87134,                0.98438,                 1.2924,                0.60154,                0.72857,                0.75479,                0.36844,                 1.7315,                 1.0808,                 2.3788,             0.00052204,             0.00052204,             0.00052204
                     45,                0.83638,                 0.9175,                  1.274,                0.71023,                0.86044,                0.91654,                0.47567,                 1.7069,                 1.0135,                 2.2689,             0.00051304,             0.00051304,             0.00051304
                     46,                0.84569,                0.91212,                 1.2602,                 0.6898,                0.90246,                0.95694,                0.51385,                 1.5766,                0.92975,                  2.123,             0.00050404,             0.00050404,             0.00050404
                     47,                0.82777,                0.89019,                 1.2507,                0.94181,                0.71855,                0.93895,                0.46064,                 1.7659,                0.96472,                 2.3724,             0.00049504,             0.00049504,             0.00049504
                     48,                0.82381,                0.87248,                 1.2501,                0.80879,                0.77015,                0.89345,                0.49911,                 1.5447,                 1.1267,                 2.0677,             0.00048604,             0.00048604,             0.00048604
                     49,                0.80451,                0.84816,                 1.2348,                 0.9034,                0.66698,                0.80817,                0.42931,                 1.5864,                 1.0062,                 2.2142,             0.00047704,             0.00047704,             0.00047704
                     50,                0.79988,                 0.8619,                 1.2376,                0.86624,                0.70466,                0.85597,                0.43812,                 1.7521,                  1.072,                 2.3603,             0.00046804,             0.00046804,             0.00046804
                     51,                0.75979,                0.81289,                 1.2265,                0.91826,                0.73711,                0.83899,                0.46846,                 1.7657,                 1.0339,                 2.2925,             0.00045904,             0.00045904,             0.00045904
                     52,                0.74078,                0.80931,                 1.2178,                0.57121,                0.92088,                0.83862,                0.46612,                 1.6342,                 1.1268,                 2.2408,             0.00045005,             0.00045005,             0.00045005
                     53,                0.78809,                0.81477,                 1.2317,                0.63631,                0.89231,                0.84806,                0.51799,                 1.5477,                 1.1103,                 2.1808,             0.00044105,             0.00044105,             0.00044105
                     54,                  0.771,                0.81587,                 1.2221,                0.88141,                0.65327,                0.90296,                0.51834,                 1.6267,                 1.1121,                  2.167,             0.00043205,             0.00043205,             0.00043205
                     55,                0.71501,                0.78227,                 1.1723,                0.79548,                 0.8766,                0.89887,                0.51533,                 1.5765,                 1.0664,                 2.1671,             0.00042305,             0.00042305,             0.00042305
                     56,                0.73374,                 0.7819,                 1.1948,                0.93019,                0.68854,                0.85861,                0.47629,                 1.5327,                 1.1008,                 2.1926,             0.00041405,             0.00041405,             0.00041405
                     57,                0.73207,                0.78021,                 1.1814,                0.84222,                0.72861,                0.86528,                0.50176,                 1.5752,                 1.0828,                 2.2495,             0.00040505,             0.00040505,             0.00040505
                     58,                0.68579,                0.73615,                 1.1622,                0.83052,                0.92252,                0.93182,                0.53039,                 1.5917,                 1.0138,                 2.2507,             0.00039605,             0.00039605,             0.00039605
